City Name,News_Source,Country,Coordinates
Of,Hill,"Of, Trabzon, Karadeniz Bölgesi, 61830, Türkiye","(40.947642, 40.2694068)"
Texas,Hill,"Texas, United States","(31.2638905, -98.5456116)"
Oklahoma,Hill,"Oklahoma, United States","(34.9550817, -97.2684063)"
Elizabeth,Hill,"Elizabeth, Union County, New Jersey, United States","(40.6639916, -74.2107006)"
Montana,Hill,"Montana, United States","(47.3752671, -109.638757)"
Delaware,Hill,"Delaware, United States","(38.6920451, -75.4013315)"
Colorado,Hill,"Colorado, United States","(38.7251776, -105.607716)"
Donna,Hill,"Donna, Hidalgo County, Texas, 78537, United States","(26.1702082, -98.0522376)"
Washington,Hill,"Washington, District of Columbia, United States","(38.8950368, -77.0365427)"
Oregon,Hill,"Oregon, United States","(43.9792797, -120.737257)"
Michigan,Hill,"Michigan, United States","(43.6211955, -84.6824346)"
Chicago,Hill,"Chicago, Cook County, Illinois, United States","(41.8755616, -87.6244212)"
Kansas,Hill,"Kansas, United States","(38.27312, -98.5821872)"
Wyoming,Hill,"Wyoming, United States","(43.1700264, -107.568534)"
Missouri,Hill,"Missouri, United States","(38.7604815, -92.5617875)"
New York,Hill,"City of New York, New York, United States","(40.7127281, -74.0060152)"
Maryland,Hill,"Maryland, United States","(39.5162401, -76.9382069)"
Virginia,Hill,"Virginia, United States","(37.1232245, -78.4927721)"
Iowa,Hill,"Iowa, United States","(41.9216734, -93.3122705)"
Columbia,Hill,Colombia,"(4.099917, -72.9088133)"
Florida,Hill,"Florida, United States","(27.7567667, -81.4639835)"
Buy,Hill,"Bunbury Airport, Hinkler Drive, Davenport, Bunbury, City Of Bunbury, Western Australia, 6229, Australia","(-33.3787856, 115.67634314872348)"
March,Hill,"March, Česko","(49.3597062, 17.3094202)"
Rosenberg,Hill,"Rosenberg, Fort Bend County, Texas, 77471, United States","(29.5571825, -95.8085623)"
Livingston,Hill,"Livingston County, Michigan, United States","(42.5924563, -83.9147925)"
Ami,Hill,"Selaparang Airport, Jalan Rumah Dinas BMG, Rumah Dinas BMG, Kel. Pejarakan Karya, Mataram, Kec. Selaparang, Nusa Tenggara Barat, Nusa Tenggara, 83125, Indonesia","(-8.5618359, 116.10222973992147)"
Bradley,Hill,"Bradley County, East Tennessee, Tennessee, United States","(35.1694469, -84.855938)"
Cleveland,Hill,"Cleveland, Cuyahoga County, Ohio, United States","(41.4996574, -81.6936772)"
Manage,Hill,"Manage, Soignies, Hainaut, Wallonie, 7170, België / Belgique / Belgien","(50.5040159, 4.2355599)"
Most,Hill,"Most, okres Most, Ústecký kraj, Česko","(50.5032737, 13.636112)"
London,Hill,"London, Greater London, England, United Kingdom","(51.5074456, -0.1277653)"
Abu Dhabi,Hill,"أبو ظبي, أبوظبي, أبو ظبي, الإمارات العربية المتحدة","(24.4538352, 54.3774014)"
Florida,Hill,"Florida, United States","(27.7567667, -81.4639835)"
Maryland,Hill,"Maryland, United States","(39.5162401, -76.9382069)"
Most,Hill,"Most, okres Most, Ústecký kraj, Česko","(50.5032737, 13.636112)"
Florida,Hill,"Florida, United States","(27.7567667, -81.4639835)"
Huntington,Hill,"Town of Huntington, Suffolk County, New York, United States","(40.868154, -73.425676)"
March,Hill,"March, Česko","(49.3597062, 17.3094202)"
Most,Hill,"Most, okres Most, Ústecký kraj, Česko","(50.5032737, 13.636112)"
Florida,Hill,"Florida, United States","(27.7567667, -81.4639835)"
March,Hill,"March, Česko","(49.3597062, 17.3094202)"
Harrison,Hill,"Harrison County, Texas, United States","(32.5233959, -94.3982158)"
Florida,Hill,"Florida, United States","(27.7567667, -81.4639835)"
Keene,Hill,"Keene, Cheshire County, New Hampshire, United States","(42.933597, -72.2784264)"
New York,Hill,"City of New York, New York, United States","(40.7127281, -74.0060152)"
Along,Hill,"Along, Aalo HQ, West Siang, Arunachal Pradesh, India","(28.1698002, 94.79854)"
Most,Hill,"Most, okres Most, Ústecký kraj, Česko","(50.5032737, 13.636112)"
